SECURITY,NEW,PREVIOUS,NEW_STATUS
ACCENT MICROCELL LIMITED      ,481.70,481.00,H
ACME SOLAR HOLDINGS LTD       ,360.00,347.60,H
ACUTAAS CHEMICALS LIMITED     ,3348.90,3188.10,H
ADITYA INFOTECH LIMITED       ,3714.40,3537.60,H
ADVAIT ENRGY TRANSITION L     ,2288.00,2252.70,H
ANONDITA MEDICARE LIMITED     ,1316.00,1229.05,H
AONEAMC - AONELIQUID          ,1070.00,1067.01,H
APAR INDUSTRIES LTD.          ,14174.00,14080.00,H
AVALON TECHNOLOGIES LTD       ,1688.50,1660.00,H
BENGAL & ASSAM CO. LTD.       ,7268.00,7110.00,H
BIO MEDICA LABORATORIES L     ,122.50,116.75,H
CLC INDUSTRIES LIMITED        ,38.45,36.62,H
DATA PATTERNS INDIA LTD       ,4320.00,4303.00,H
DHANSA LABS LIMITED           ,24.90,25.00,H
ECOLINE EXIM LIMITED          ,186.00,171.95,H
EXCELLENT WIRES N PACK L      ,173.95,171.00,H
FERMENTA BIOTECH LTD.         ,345.00,330.00,H
FRESHARA AGRO EXPORTS LTD     ,233.30,231.20,H
FUJIYAMA POWER SYSTEMS L      ,365.00,352.50,H
GRETEX CORPORATE SERVICES     ,428.00,424.15,H
HOAC FOODS INDIA LIMITED      ,672.25,640.40,H
INDO BORAX & CHEMICAL LTD     ,370.75,367.75,H
KWALITY PHARMACEUTICALS L     ,2440.00,2390.00,H
KWALITY WALL'S (INDIA) L      ,36.57,36.38,H
MODISON LIMITED               ,362.70,345.45,H
MONOLITHISCH INDIA LTD        ,658.15,652.95,H
MOTILALAMC - MONQ50           ,146.58,146.35,H
NEPHROCARE HEALTH SERV L      ,683.10,671.95,H
NIPPON L I A M LTD            ,1144.40,1143.00,H
NITIN SPINNERS LIMITED        ,564.70,545.85,H
PASUPATI ACRYLON LIMITED      ,76.68,73.85,H
POLYCAB INDIA LIMITED         ,9833.00,9774.50,H
PRADEEP METALS LTD.           ,487.95,466.40,H
Q-LINE BIOTECH LIMITED        ,494.85,483.00,H
R R KABEL LIMITED             ,2239.80,2239.60,H
S.A.L. STEEL LTD.             ,65.50,63.89,H
SAI LIFE SCIENCES LIMITED     ,1190.00,1184.80,H
SAI PARENTERALS LIMITED       ,570.50,563.65,H
SHRI AHIMSA NATURALS LTD      ,374.75,360.00,H
SHRI BAJRANG ALLIANCE L       ,210.00,184.80,H
SHRIRAM - LIQUIDSHRI          ,1107.58,1107.16,H
SIGMA ADVANCED SYSTEM LTD     ,467.80,458.70,H
TANKUP ENGINEERS LIMITED      ,954.10,908.70,H
TEAMTECH FORMWORK SOL LTD     ,78.00,76.80,H
VELJAN DENISON LTD.           ,1220.00,1190.00,H
VENUS REMEDIES LIMITED        ,1633.50,1555.80,H
VIJAYA DIAGNOSTIC CEN LTD     ,1427.80,1380.00,H
WELSPUN SPECIALTY SOL L       ,52.20,49.38,H
YASHO INDUSTRIES LIMITED      ,2594.50,2543.50,H
ZERODHAAMC - LIQUIDCASE       ,114.43,114.38,H
ADDICTIVE LEARNING TECH L     ,55.05,57.65,L
BIL VYAPAR LIMITED            ,4.26,4.40,L
CHEMPLAST SANMAR LIMITED      ,203.14,203.60,L
DHANSA LABS LIMITED           ,23.75,25.00,L
DISA INDIA LTD.               ,11075.00,11087.00,L
ELCID INVESTMENTS LTD.        ,111670.00,115560.00,L
ELITECON INTERNATIONAL L      ,28.40,28.58,L
GRADIENTE INFOTAINMENT L      ,2.92,3.07,L
KANCHI KARPOORAM LTD.         ,342.35,359.35,L
KOTAKMAMC - KOTAKMID50        ,15.01,15.12,L
LE MERITE EXPORTS LIMITED     ,29.46,31.01,L
LIFE INSURA CORP OF INDIA     ,395.10,396.60,L
MANAS POLYMER N ENERGIE L     ,40.90,42.00,L
MERCURY EV-TECH LIMITED       ,34.02,34.71,L
NFP SAMPOORNA FOODS LTD       ,36.30,38.20,L
PAUL MERCHANTS LTD.           ,499.05,503.10,L
R&B DENIMS LIMITED            ,9.91,10.00,L
RAJ TV NETWORK LTD            ,13.26,13.95,L
RMC SWITCHGEARS LIMITED       ,300.85,316.65,L
SARASWATI COMM (INDIA) L      ,9000.00,9150.00,L
ULTRAMARINE & PIGMENTS L      ,383.60,394.75,L
VERTEXPLUS TECHNOLOGIES L     ,66.00,69.45,L
WAKEFIT INNOVATIONS LTD       ,113.37,113.51,L
